label_sample,sample_number,patient_type,bacterial_count
Healthy donors,M1,healthy_donor,3760166.667
Healthy donors,M2,healthy_donor,2934500
Healthy donors,M3,healthy_donor,5595000
Healthy donors,M4,healthy_donor,2377166.667
Healthy donors,M5,healthy_donor,2423333.333
Healthy donors,M6,healthy_donor,4037666.667
Healthy donors,M7,healthy_donor,3430833.333
Healthy donors,M8,healthy_donor,3195833.333
Healthy donors,M9,healthy_donor,1800166.667
Healthy donors,M10,healthy_donor,2333166.667
Healthy donors,M11,healthy_donor,4908000
Healthy donors,M12,healthy_donor,3932500
Healthy donors,M13,healthy_donor,3274666.667
Healthy donors,M14,healthy_donor,4595500
Healthy donors,M15,healthy_donor,4069833.333
Healthy donors,M16,healthy_donor,2980833.333
Healthy donors,M17,healthy_donor,5147000
Healthy donors,M18,healthy_donor,2083000
Healthy donors,M19,healthy_donor,2039833.333
Healthy donors,M20,healthy_donor,2259000
Healthy donors,M21,healthy_donor,2950333.333
Healthy donors,M22,healthy_donor,1298500
Healthy donors,M23,healthy_donor,2558333.333
Healthy donors,M24,healthy_donor,4420666.667
Healthy donors,M25,healthy_donor,2591833.333
Healthy donors,M26,healthy_donor,2822500
Healthy donors,M27,healthy_donor,4368333.333
Healthy donors,M28,healthy_donor,2889000
Healthy donors,M29,healthy_donor,4176833.333
Healthy donors,M30,healthy_donor,4827000
Healthy donors,M31,healthy_donor,4116333.333
Healthy donors,M32,healthy_donor,4646166.667
Healthy donors,M33,healthy_donor,4398166.667
Healthy donors,M34,healthy_donor,3483500
Healthy donors,M35,healthy_donor,2595000
Healthy donors,M36,healthy_donor,5655500
Healthy donors,M37,healthy_donor,5005833.333
Healthy donors,M38,healthy_donor,3320166.667
Healthy donors,M39,healthy_donor,2024833.333
Healthy donors,M40,healthy_donor,5402833.333
Healthy donors,M41,healthy_donor,2990833.333
Healthy donors,M42,healthy_donor,4924833.333
Healthy donors,M43,healthy_donor,4578166.667
Healthy donors,M44,healthy_donor,4567333.333
Healthy donors,M45,healthy_donor,4954833.333
Healthy donors,M46,healthy_donor,2962333.333
Healthy donors,M47,healthy_donor,844166.6667
Healthy donors,M48,healthy_donor,519166.6667
Healthy donors,M49,healthy_donor,3024000
Healthy donors,M50,healthy_donor,4385166.667
Healthy donors,M51,healthy_donor,4006500
Healthy donors,M52,healthy_donor,2861833.333
Healthy donors,M53,healthy_donor,4385333.333
Healthy donors,M54,healthy_donor,801500
Healthy donors,M55,healthy_donor,1323666.667
Healthy donors,M56,healthy_donor,3185000
Healthy donors,M57,healthy_donor,3712000
Healthy donors,M58,healthy_donor,3233833.333
Healthy donors,M59,healthy_donor,2483000
Healthy donors,M60,healthy_donor,3464833.333
Healthy donors,M61,healthy_donor,3798000
Healthy donors,M62,healthy_donor,2494666.667
Healthy donors,M63,healthy_donor,1413833.333
Healthy donors,M64,healthy_donor,1713166.667
Healthy donors,M65,healthy_donor,2564000
Healthy donors,M66,healthy_donor,4547500
Healthy donors,M67,healthy_donor,4323500
Healthy donors,M68,healthy_donor,6023000
Healthy donors,M69,healthy_donor,4871333.333
Healthy donors,M70,healthy_donor,5249333.333
Healthy donors,M71,healthy_donor,4249666.667
Healthy donors,M72,healthy_donor,4975333.333
Healthy donors,M73,healthy_donor,6566500
Healthy donors,M74,healthy_donor,5760666.667
Healthy donors,M75,healthy_donor,6610000
Healthy donors,M76,healthy_donor,2680666.667
Healthy donors,M77,healthy_donor,2211500
Healthy donors,M78,healthy_donor,4439000
Healthy donors,M79,healthy_donor,2143666.667
